id_zone,id_quartier,nom_quartier,piece,epoque,meuble_txt,ref,max,min,annee,ville,code_grand_quartier,lat,lon
11,54,Parc-de-Montsouris,2,Avant 1946,non meublé,24.2,29.04,16.94,2020,PARIS,7511454,48.8234527716,2.33707017986
13,73,Villette,4,1971-1990,non meublé,15.0,18.0,10.5,2020,PARIS,7511973,48.8876610888,2.37446821213
8,57,Saint-Lambert,4,Apres 1990,meublé,27.2,32.64,19.04,2020,PARIS,7511557,48.8342936284,2.29691997445
6,58,Necker,3,Avant 1946,meublé,28.0,33.6,19.6,2020,PARIS,7511558,48.8427112503,2.31077745364
11,41,Folie-Méricourt,4,Avant 1946,meublé,24.2,29.04,16.94,2020,PARIS,7511141,48.8674031901,2.37296482493
13,78,Saint-Fargeau,1,Apres 1990,meublé,26.1,31.32,18.27,2020,PARIS,7512078,48.8710347391,2.40617153015
1,27,Ecole-Militaire,1,Apres 1990,non meublé,35.0,42.0,24.5,2020,PARIS,7510727,48.8503592615,2.31103093627
10,44,Sainte-Marguerite,4,Apres 1990,meublé,26.6,31.92,18.62,2020,PARIS,7511144,48.852096507,2.3887648336
1,28,Gros-Caillou,4,Apres 1990,meublé,33.8,40.56,23.66,2020,PARIS,7510728,48.8582999039,2.30154155569
2,31,Madeleine,3,1971-1990,non meublé,22.3,26.76,15.61,2020,PARIS,7510831,48.871265493,2.32005302865
4,11,Archives,1,Apres 1990,non meublé,28.4,34.08,19.88,2020,PARIS,7510311,48.8591924127,2.36320505733
13,78,Saint-Fargeau,4,1971-1990,meublé,17.0,20.4,11.9,2020,PARIS,7512078,48.8710347391,2.40617153015
4,9,Arts-et-Metiers,4,1946-1970,meublé,26.0,31.2,18.2,2020,PARIS,7510309,48.8664702895,2.35708313106
2,21,Monnaie,1,1971-1990,non meublé,27.9,33.48,19.53,2020,PARIS,7510621,48.8543844036,2.34003537113
13,80,Charonne,3,Apres 1990,non meublé,18.0,21.6,12.6,2020,PARIS,7512080,48.854760283,2.40743032824
5,53,Montparnasse,1,Apres 1990,non meublé,27.9,33.48,19.53,2020,PARIS,7511453,48.837623096,2.33178382289
11,39,Porte-Saint-Martin,3,Apres 1990,non meublé,20.9,25.08,14.63,2020,PARIS,7511039,48.8712446509,2.36150364735
5,52,Croulebarbe,1,Apres 1990,meublé,31.5,37.8,22.05,2020,PARIS,7511352,48.8337336761,2.34767304607
13,72,La Chapelle,1,Avant 1946,meublé,29.4,35.28,20.58,2020,PARIS,7511872,48.8940121696,2.36438677903
10,67,Batignolles,1,1971-1990,meublé,30.1,36.12,21.07,2020,PARIS,7511767,48.8884815139,2.31385616901
1,23,Notre-Dame-des-Champs,1,1946-1970,non meublé,31.2,37.44,21.84,2020,PARIS,7510623,48.846427594,2.32735687823
4,19,Val-de-Grace,4,1946-1970,meublé,26.0,31.2,18.2,2020,PARIS,7510519,48.841684288,2.34386092632
2,4,Place-Vendôme,4,1971-1990,meublé,25.1,30.12,17.57,2020,PARIS,7510104,48.8670185906,2.32858166493
8,57,Saint-Lambert,2,1971-1990,non meublé,22.1,26.52,15.47,2020,PARIS,7511557,48.8342936284,2.29691997445
4,9,Arts-et-Metiers,3,Apres 1990,meublé,26.0,31.2,18.2,2020,PARIS,7510309,48.8664702895,2.35708313106
8,57,Saint-Lambert,4,Apres 1990,non meublé,24.1,28.92,16.87,2020,PARIS,7511557,48.8342936284,2.29691997445
2,30,Faubourg-du-Roule,3,Apres 1990,meublé,27.7,33.24,19.39,2020,PARIS,7510830,48.8741355756,2.30411880972
11,39,Porte-Saint-Martin,3,1971-1990,meublé,22.3,26.76,15.61,2020,PARIS,7511039,48.8712446509,2.36150364735
6,65,Ternes,1,1946-1970,meublé,31.1,37.32,21.77,2020,PARIS,7511765,48.8811775503,2.28996373812
5,2,Halles,2,1946-1970,meublé,26.8,32.16,18.76,2020,PARIS,7510102,48.8622891081,2.34489885831
4,10,Enfants-Rouges,1,Apres 1990,non meublé,28.4,34.08,19.88,2020,PARIS,7510310,48.863887392,2.36312330099
9,69,Grandes-Carrières,3,Avant 1946,non meublé,21.6,25.92,15.12,2020,PARIS,7511869,48.8925777711,2.33436308991
4,19,Val-de-Grace,2,1971-1990,non meublé,22.7,27.24,15.89,2020,PARIS,7510519,48.841684288,2.34386092632
